Generator,N,Configurations,Kappa,Autocorrelation,Internal Energy,IE Error,Winding,Winding Error
<supervillain.generator.combining.Sequentially object at 0x00000164DE127940>,5,10000,0.74,2.0000,0.6091,0.0071,0.0058,0.0011
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39F310>,5,10000,0.74,7.0000,0.6271,0.0139,0.0081,0.0022
<supervillain.generator.combining.Sequentially object at 0x00000164CC39F220>,5,10000,0.74,2.0000,0.6121,0.0069,0.0057,0.0011
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39F1F0>,5,10000,0.74,7.0000,0.6045,0.0119,0.0053,0.0019
<supervillain.generator.combining.Sequentially object at 0x00000164CC39D180>,5,10000,0.74,2.0000,0.6011,0.0067,0.0044,0.0010
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39CDC0>,5,10000,0.74,7.0000,0.6093,0.0158,0.0055,0.0025
<supervillain.generator.combining.Sequentially object at 0x00000164CC398220>,5,10000,0.74,2.0000,0.6098,0.0081,0.0062,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC398160>,5,10000,0.74,7.0000,0.6101,0.0135,0.0060,0.0020
<supervillain.generator.combining.Sequentially object at 0x00000164CC39AAA0>,5,10000,0.74,2.0000,0.6097,0.0076,0.0055,0.0011
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39A8F0>,5,10000,0.74,10.0000,0.6070,0.0194,0.0049,0.0029
<supervillain.generator.combining.Sequentially object at 0x00000164CC39B340>,5,10000,0.74,2.0000,0.6072,0.0075,0.0042,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC399150>,5,10000,0.74,8.0000,0.5855,0.0115,0.0013,0.0021
<supervillain.generator.combining.Sequentially object at 0x00000164CC39BD30>,5,10000,0.74,2.0000,0.6035,0.0071,0.0041,0.0011
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39BC40>,5,10000,0.74,7.0000,0.6111,0.0134,0.0060,0.0022
<supervillain.generator.combining.Sequentially object at 0x00000164CC39BE50>,5,10000,0.74,2.0000,0.5902,0.0074,0.0026,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39BD00>,5,10000,0.74,7.0000,0.5782,0.0115,0.0015,0.0019
<supervillain.generator.combining.Sequentially object at 0x00000164CC39BB20>,5,10000,0.74,2.0000,0.6013,0.0084,0.0039,0.0013
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39B760>,5,10000,0.74,7.0000,0.6184,0.0148,0.0066,0.0023
<supervillain.generator.combining.Sequentially object at 0x00000164CC39B790>,5,10000,0.74,2.0000,0.6128,0.0076,0.0050,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39B4F0>,5,10000,0.74,7.0000,0.5936,0.0141,0.0037,0.0020
