Generator,N,Configurations,Kappa,Autocorrelation,Internal Energy,IE Error,Winding,Winding Error
<supervillain.generator.combining.Sequentially object at 0x0000025CAB970970>,5,10000,0.61,0.0018,1.0846,0.0162,0.0214,0.0018
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB970A60>,5,10000,0.61,0.0024,1.1026,0.0239,0.0233,0.0024
<supervillain.generator.combining.Sequentially object at 0x0000025CAB970C40>,5,10000,0.615,0.0018,1.0509,0.0163,0.0191,0.0018
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB970D30>,5,10000,0.615,0.0029,1.0365,0.0267,0.0187,0.0029
<supervillain.generator.combining.Sequentially object at 0x0000025CAB970F10>,5,10000,0.62,0.0022,0.9943,0.0180,0.0155,0.0022
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB971000>,5,10000,0.62,0.0028,0.9932,0.0233,0.0153,0.0028
<supervillain.generator.combining.Sequentially object at 0x0000025CAB9711E0>,5,10000,0.625,0.0017,0.9980,0.0143,0.0192,0.0017
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB9712D0>,5,10000,0.625,0.0025,1.0066,0.0222,0.0192,0.0025
<supervillain.generator.combining.Sequentially object at 0x0000025CAB9714B0>,5,10000,0.63,0.0016,0.9959,0.0143,0.0192,0.0016
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB9715A0>,5,10000,0.63,0.0029,0.9418,0.0249,0.0147,0.0029
<supervillain.generator.combining.Sequentially object at 0x0000025CAB971780>,5,10000,0.635,0.0015,0.9358,0.0136,0.0143,0.0015
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB971870>,5,10000,0.635,0.0031,0.9416,0.0262,0.0127,0.0031
<supervillain.generator.combining.Sequentially object at 0x0000025CAB971A50>,5,10000,0.64,0.0019,0.8937,0.0147,0.0123,0.0019
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB971B40>,5,10000,0.64,0.0024,0.9483,0.0206,0.0188,0.0024
<supervillain.generator.combining.Sequentially object at 0x0000025CAB971D20>,5,10000,0.645,0.0013,0.8952,0.0106,0.0124,0.0013
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB971E10>,5,10000,0.645,0.0025,0.8938,0.0205,0.0142,0.0025
<supervillain.generator.combining.Sequentially object at 0x0000025CAB971FF0>,5,10000,0.65,0.0015,0.8958,0.0130,0.0156,0.0015
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB9720E0>,5,10000,0.65,0.0029,0.8769,0.0219,0.0128,0.0029
<supervillain.generator.combining.Sequentially object at 0x0000025CAB9722C0>,5,10000,0.655,0.0016,0.8824,0.0140,0.0149,0.0016
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB9723B0>,5,10000,0.655,0.0030,0.8679,0.0221,0.0114,0.0030
<supervillain.generator.combining.Sequentially object at 0x0000025CAB972620>,5,10000,0.66,0.0011,0.8546,0.0089,0.0144,0.0011
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB972680>,5,10000,0.66,0.0026,0.8443,0.0198,0.0114,0.0026
<supervillain.generator.combining.Sequentially object at 0x0000025CAB972860>,5,10000,0.665,0.0013,0.8160,0.0112,0.0107,0.0013
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAB972950>,5,10000,0.665,0.0020,0.8355,0.0174,0.0123,0.0020
<supervillain.generator.combining.Sequentially object at 0x0000025CAADBAE90>,5,10000,0.67,0.0013,0.7971,0.0100,0.0107,0.0013
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAADB96C0>,5,10000,0.67,0.0027,0.8094,0.0210,0.0124,0.0027
<supervillain.generator.combining.Sequentially object at 0x0000025CAAE8B070>,5,10000,0.675,0.0012,0.7870,0.0090,0.0097,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAC8C700>,5,10000,0.675,0.0022,0.7874,0.0178,0.0115,0.0022
<supervillain.generator.combining.Sequentially object at 0x0000025CA24D38B0>,5,10000,0.6799999999999999,0.0013,0.7800,0.0097,0.0117,0.0013
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAD8C310>,5,10000,0.6799999999999999,0.0020,0.7571,0.0163,0.0082,0.0020
<supervillain.generator.combining.Sequentially object at 0x0000025CAADA10C0>,5,10000,0.685,0.0012,0.7489,0.0086,0.0087,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAADA0F10>,5,10000,0.685,0.0024,0.7757,0.0190,0.0139,0.0024
<supervillain.generator.combining.Sequentially object at 0x0000025CAAB92440>,5,10000,0.69,0.0014,0.7268,0.0102,0.0079,0.0014
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAB926B0>,5,10000,0.69,0.0023,0.7495,0.0180,0.0112,0.0023
<supervillain.generator.combining.Sequentially object at 0x0000025CAAB91600>,5,10000,0.6950000000000001,0.0013,0.7179,0.0096,0.0078,0.0013
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAC6EF80>,5,10000,0.6950000000000001,0.0022,0.7466,0.0175,0.0094,0.0022
<supervillain.generator.combining.Sequentially object at 0x0000025CAAC6CCD0>,5,10000,0.7,0.0012,0.7037,0.0093,0.0075,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAC6D120>,5,10000,0.7,0.0022,0.7193,0.0172,0.0079,0.0022
<supervillain.generator.combining.Sequentially object at 0x0000025CAAC6D810>,5,10000,0.7050000000000001,0.0012,0.6884,0.0085,0.0078,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000025CAAC6D990>,5,10000,0.7050000000000001,0.0020,0.7009,0.0143,0.0083,0.0020
<supervillain.generator.combining.Sequentially object at 0x0000025CAAC6D330>,5,10000,0.71,0.0013,0.6752,0.0090,0.0057,0.0013
