Generator,N,Configurations,Kappa,Autocorrelation,Internal Energy,IE Error,Winding,Winding Error
<supervillain.generator.combining.Sequentially object at 0x00000164CC39CBB0>,5,10000,0.5,3.0000,2.3805,0.0383,0.0778,0.0028
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39C550>,5,10000,0.5,7.0000,2.3305,0.0532,0.0738,0.0041
<supervillain.generator.combining.Sequentially object at 0x00000164CC39C760>,5,10000,0.5,4.0000,2.4055,0.0365,0.0808,0.0029
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39E5C0>,5,10000,0.5,7.0000,2.3131,0.0595,0.0738,0.0042
<supervillain.generator.combining.Sequentially object at 0x00000164CC39DA20>,5,10000,0.5,4.0000,2.3070,0.0371,0.0733,0.0029
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39D870>,5,10000,0.5,10.0000,2.3522,0.0631,0.0772,0.0047
<supervillain.generator.combining.Sequentially object at 0x00000164CC39D690>,5,10000,0.5,4.0000,2.3954,0.0453,0.0792,0.0031
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39D4E0>,5,10000,0.5,8.0000,2.4366,0.0599,0.0825,0.0045
<supervillain.generator.combining.Sequentially object at 0x00000164CC39F8B0>,5,10000,0.5,4.0000,2.2631,0.0415,0.0705,0.0032
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39FD90>,5,10000,0.5,7.0000,2.3028,0.0544,0.0706,0.0041
<supervillain.generator.combining.Sequentially object at 0x00000164CC39FEB0>,5,10000,0.5,4.0000,2.3311,0.0392,0.0745,0.0028
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39CF70>,5,10000,0.5,8.0000,2.4167,0.0612,0.0796,0.0046
<supervillain.generator.combining.Sequentially object at 0x00000164CC39DA80>,5,10000,0.5,4.0000,2.3528,0.0395,0.0758,0.0029
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39C970>,5,10000,0.5,8.0000,2.3003,0.0601,0.0721,0.0044
<supervillain.generator.combining.Sequentially object at 0x00000164CC39C790>,5,10000,0.5,4.0000,2.3272,0.0436,0.0738,0.0032
