Generator,N,Configurations,Kappa,Autocorrelation,Internal Energy,IE Error,Winding,Winding Error
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39C820>,5,10000,0.5,7.0000,2.3391,0.0494,0.0749,0.0039
<supervillain.generator.combining.Sequentially object at 0x00000164CC39C2E0>,5,10000,0.5,4.0000,2.3796,0.0377,0.0779,0.0027
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39CC40>,5,10000,0.5,7.0000,2.4046,0.0547,0.0797,0.0040
<supervillain.generator.combining.Sequentially object at 0x00000164CC39DC90>,5,10000,0.5,3.0000,2.3341,0.0377,0.0743,0.0028
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164CC39E140>,5,10000,0.5,7.0000,2.2655,0.0603,0.0707,0.0048
<supervillain.generator.combining.Sequentially object at 0x00000164DA2E8100>,5,10000,0.5,4.0000,2.3442,0.0390,0.0758,0.0029
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164DA2E81F0>,5,10000,0.5,7.0000,2.3528,0.0539,0.0768,0.0041
<supervillain.generator.combining.Sequentially object at 0x00000164DA2E83D0>,5,10000,0.5,4.0000,2.3333,0.0362,0.0757,0.0028
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164DA2E84C0>,5,10000,0.5,8.0000,2.3122,0.0507,0.0740,0.0038
<supervillain.generator.combining.Sequentially object at 0x00000164DA2E86A0>,5,10000,0.5,4.0000,2.3802,0.0459,0.0773,0.0033
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164DA2E8790>,5,10000,0.5,8.0000,2.4405,0.0625,0.0789,0.0046
<supervillain.generator.combining.Sequentially object at 0x00000164DA2E8970>,5,10000,0.5,4.0000,2.3868,0.0376,0.0788,0.0026
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164DA2E8A60>,5,10000,0.5,7.0000,2.3219,0.0559,0.0751,0.0042
<supervillain.generator.combining.Sequentially object at 0x00000164DA2E8C40>,5,10000,0.5,4.0000,2.3608,0.0376,0.0780,0.0028
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164DA2E8D30>,5,10000,0.5,9.0000,2.4777,0.0626,0.0844,0.0045
<supervillain.generator.combining.Sequentially object at 0x00000164DA2E8F10>,5,10000,0.5,4.0000,2.3036,0.0415,0.0727,0.0030
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164DA2E9000>,5,10000,0.5,9.0000,2.4032,0.0606,0.0790,0.0042
<supervillain.generator.combining.Sequentially object at 0x00000164DA2E91E0>,5,10000,0.5,4.0000,2.3569,0.0416,0.0751,0.0030
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164DA2E92D0>,5,10000,0.5,7.0000,2.3709,0.0549,0.0765,0.0041
<supervillain.generator.combining.Sequentially object at 0x00000164DA2E94B0>,5,10000,0.5,4.0000,2.2946,0.0364,0.0722,0.0027
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164DA2E95A0>,5,10000,0.5,7.0000,2.4126,0.0524,0.0801,0.0039
<supervillain.generator.combining.Sequentially object at 0x00000164DA2E9780>,5,10000,0.5,4.0000,2.3611,0.0446,0.0768,0.0033
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164DA2E9870>,5,10000,0.5,8.0000,2.3456,0.0535,0.0753,0.0040
<supervillain.generator.combining.Sequentially object at 0x00000164DA2E9A50>,5,10000,0.5,4.0000,2.3998,0.0380,0.0806,0.0027
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164DA2E9B40>,5,10000,0.5,8.0000,2.3804,0.0562,0.0781,0.0043
