Generator,N,Configurations,Kappa,Autocorrelation,Internal Energy,IE Error,Winding,Winding Error
<supervillain.generator.combining.Sequentially object at 0x00000164D47FF4C0>,5,10000,0.5,4.0000,2.3258,0.0430,0.0751,0.0032
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164D47FF5B0>,5,10000,0.5,8.0000,2.4098,0.0649,0.0803,0.0046
<supervillain.generator.combining.Sequentially object at 0x00000164D47FF790>,5,10000,0.525,4.0000,1.9066,0.0341,0.0578,0.0027
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164D47FF880>,5,10000,0.525,8.0000,1.9890,0.0537,0.0635,0.0043
<supervillain.generator.combining.Sequentially object at 0x00000164D47FFA60>,5,10000,0.55,3.0000,1.5795,0.0264,0.0421,0.0023
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164D47FFB50>,5,10000,0.55,7.0000,1.5929,0.0441,0.0448,0.0039
<supervillain.generator.combining.Sequentially object at 0x00000164D47FFD30>,5,10000,0.575,3.0000,1.3514,0.0219,0.0348,0.0021
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164D47FFE20>,5,10000,0.575,7.0000,1.3551,0.0312,0.0324,0.0033
<supervillain.generator.combining.Sequentially object at 0x00000164D47FD3F0>,5,10000,0.6,3.0000,1.1355,0.0158,0.0226,0.0017
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164D47FD060>,5,10000,0.6,7.0000,1.1231,0.0263,0.0210,0.0028
<supervillain.generator.combining.Sequentially object at 0x00000164D47FCE80>,5,10000,0.625,2.0000,1.0108,0.0124,0.0186,0.0014
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164D47FCD90>,5,10000,0.625,7.0000,1.0202,0.0247,0.0186,0.0029
<supervillain.generator.combining.Sequentially object at 0x00000164D47FCBB0>,5,10000,0.65,2.0000,0.8527,0.0112,0.0108,0.0013
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164D47FCAC0>,5,10000,0.65,7.0000,0.9451,0.0211,0.0215,0.0027
<supervillain.generator.combining.Sequentially object at 0x00000164D47FC8E0>,5,10000,0.675,2.0000,0.7891,0.0095,0.0091,0.0013
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164D47FC7F0>,5,10000,0.675,8.0000,0.7767,0.0196,0.0099,0.0026
<supervillain.generator.combining.Sequentially object at 0x00000164D47FC610>,5,10000,0.7,2.0000,0.6925,0.0086,0.0046,0.0014
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164D47FC520>,5,10000,0.7,8.0000,0.6914,0.0201,0.0047,0.0026
<supervillain.generator.combining.Sequentially object at 0x00000164D47FC340>,5,10000,0.725,2.0000,0.6320,0.0079,0.0039,0.0012
<supervillain.generator.worms.SlowUndirectedWorm object at 0x00000164D47FC250>,5,10000,0.725,7.0000,0.6633,0.0158,0.0073,0.0026
