Generator,N,Configurations,Kappa,Autocorrelation,Internal Energy,IE Error,Winding,Winding Error
<supervillain.generator.combining.Sequentially object at 0x0000023967B4EB00>,20,10000,0.74,9.0000,0.5147,0.0046,0.0068,0.0007
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000023967B4EBF0>,20,10000,0.74,11.0000,0.5191,0.0044,0.0079,0.0006
<supervillain.generator.combining.Sequentially object at 0x0000023967B4EDD0>,20,10000,0.74,8.0000,0.5093,0.0041,0.0064,0.0006
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000023967B4EEC0>,20,10000,0.74,13.0000,0.5159,0.0046,0.0074,0.0007
<supervillain.generator.combining.Sequentially object at 0x0000023967B4F130>,20,10000,0.74,8.0000,0.5097,0.0036,0.0061,0.0006
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000023967B4F190>,20,10000,0.74,13.0000,0.5074,0.0047,0.0059,0.0007
<supervillain.generator.combining.Sequentially object at 0x0000023967B4F370>,20,10000,0.74,8.0000,0.5166,0.0036,0.0073,0.0005
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000023967B4F460>,20,10000,0.74,19.0000,0.5205,0.0060,0.0077,0.0010
<supervillain.generator.combining.Sequentially object at 0x0000023967B4F640>,20,10000,0.74,8.0000,0.5104,0.0041,0.0069,0.0006
<supervillain.generator.worms.SlowUndirectedWorm object at 0x0000023967B4F730>,20,10000,0.74,13.0000,0.5122,0.0042,0.0065,0.0007
